business_id,business_name,business_address,business_city,business_state,business_postal_code,business_latitude,business_longitude,business_location,inspection_id,inspection_date,inspection_result,inspection_type,violation_id,violation_description,violation_critical
27509,CITY LIGHTS OF CHINA,4953 BETHESDA AVE,BETHESDA,MD,20814,38.981,-77.1001,"(38.981, -77.1001)",27509_2016-01-21,01/21/2016 12:00:00 AM,PASS,routine,,,
29217,FARM MARKET/LA BOHEMIA BAKERY,7155 WISCONSIN AVE,BETHESDA,MD,20814,38.981,-77.0921,"(38.981, -77.0921)",29217_2015-12-02,12/02/2015 12:00:00 AM,PASS,routine,,,
19125,JIREH RESTAURANT,706 UNIVERSITY BLVD. E.,SILVER SPRING,MD,20903,38.9991,-76.9946,"(38.9991, -76.9946)",19125_2016-12-06,12/06/2016 12:00:00 AM,PASS,routine,19125_2016-12-06_ColdHoldingTemperature(C),Standard not met: Cold Holding Temperature (C),true
29424,PIZZA BOLI'S,808 HUNGERFORD DR,ROCKVILLE,MD,20850,39.0948,-77.1538,"(39.0948, -77.1538)",29424_2017-02-02,02/02/2017 12:00:00 AM,PASS,routine,,,
30138,GENERAL NUTRITION CENTER,22705 CLARKSBURG RD,CLARKSBURG,MD,20871,39.2296,-77.2863,"(39.2296, -77.2863)",30138_2017-02-02,02/02/2017 12:00:00 AM,PASS,routine,,,
27685,FRESH BAGUETTE,4919 BETHESDA AVE,BETHESDA,MD,20814,38.981,-77.0992,"(38.981, -77.0992)",27685_2015-04-22,04/22/2015 12:00:00 AM,PASS,routine,27685_2015-04-22_ColdHoldingTemperature(C),Standard not met: Cold Holding Temperature (C),true
18084,LANCE'S BEER & WINE,4701 MILLER AVE.,BETHESDA,MD,20814,38.9807,-77.0929,"(38.9807, -77.0929)",18084_2015-12-22,12/22/2015 12:00:00 AM,PASS,routine,,,
22305,ODALIS RESTAURANT,8215 GEORGIA AVE,SILVER SPRING,MD,20910,38.9921,-77.0262,"(38.9921, -77.0262)",22305_2016-09-27,09/27/2016 12:00:00 AM,PASS,routine,22305_2016-09-27_RodentandInsects,Standard not met: Rodent and Insects,false
251,BETHESDA BAGELS,4819 BETHESDA AVE.,BETHESDA,MD,20814,38.9811,-77.0966,"(38.9811, -77.0966)",251_2015-11-13,11/13/2015 12:00:00 AM,PASS,routine,251_2015-11-13_ProperHandWashing(C),Standard not met: Proper Hand Washing (C),true
22610,PACCI'S TRATTORIA & PASTICCERIA,6 POST OFFICE RD.,SILVER SPRING,MD,20910,39.0152,-77.0556,"(39.0152, -77.0556)",22610_2017-02-01,02/01/2017 12:00:00 AM,PASS,routine,,,
18694,FARM MARKET/STONYMAN GOURMET FARMER,7155 WISCONSIN AVE.,BETHESDA,MD,20814,38.981,-77.0921,"(38.981, -77.0921)",18694_2015-06-10,06/10/2015 12:00:00 AM,PASS,routine,,,
992,GAITHERSBURG HILTON,620 PERRY PKWY.,GAITHERSBURG,MD,20877,39.1494,-77.2131,"(39.1494, -77.2131)",992_2016-04-05,04/05/2016 12:00:00 AM,PASS,routine,992_2016-04-05_ProperHandWashing(C),Standard not met: Proper Hand Washing (C),true
195,BANGKOK GARDEN RESTAURANT,4906 ST. ELMO AVE.,BETHESDA,MD,20814,38.9887,-77.0974,"(38.9887, -77.0974)",195_2016-11-18,11/18/2016 12:00:00 AM,PASS,routine,195_2016-11-18_ColdHoldingTemperature(C),Standard not met: Cold Holding Temperature (C),true
23959,STARVIN MARVINS,211- C. N. FREDERICK AVE,GAITHERSBURG,MD,20877,39.1444,-77.2016,"(39.1444, -77.2016)",23959_2015-03-25,03/25/2015 12:00:00 AM,PASS,routine,23959_2015-03-25_RodentandInsects,Standard not met: Rodent and Insects,false
2916,DAIRY QUEEN OF GERMANTOWN,12603 WISTERIA DR.,GERMANTOWN,MD,20874,39.1709,-77.2626,"(39.1709, -77.2626)",2916_2016-06-02,06/02/2016 12:00:00 AM,PASS,routine,,,
22636,PHO NOM NOM,842-A ROCKVILLE PIKE,ROCKVILLE,MD,20852,39.0758,-77.1369,"(39.0758, -77.1369)",22636_2017-02-02,02/02/2017 12:00:00 AM,PASS,routine,,,
