HDR,ROLLING SYSTEM DEMAND,
VD,2.02203E+13,41495
VD,2.02203E+13,41272
VD,2.02203E+13,41064
VD,2.02203E+13,41300
VD,2.02203E+13,41056
VD,2.02203E+13,40908
VD,2.02203E+13,40647
VD,2.02203E+13,40384
VD,2.02203E+13,40115
VD,2.02203E+13,39943
VD,2.02203E+13,39564
VD,2.02203E+13,39474
VD,2.02203E+13,39451
VD,2.02203E+13,39134
VD,2.02203E+13,38677
VD,2.02203E+13,38507
VD,2.02203E+13,38358
VD,2.02203E+13,38121
VD,2.02203E+13,37728
VD,2.02203E+13,37436
VD,2.02203E+13,37122
VD,2.02203E+13,36947
VD,2.02203E+13,36705
VD,2.02203E+13,36512
VD,2.02203E+13,36433
VD,2.02203E+13,36275
VD,2.02203E+13,35767
VD,2.02203E+13,35477
VD,2.02203E+13,35440
VD,2.02203E+13,35227
VD,2.02203E+13,34726
VD,2.02203E+13,34220
VD,2.02203E+13,34002
VD,2.02203E+13,33657
VD,2.02203E+13,33387
VD,2.02203E+13,33076
VD,2.02203E+13,32637
VD,2.02203E+13,32446
VD,2.02203E+13,32466
VD,2.02203E+13,32216
VD,2.02203E+13,31922
VD,2.02203E+13,31689
VD,2.02203E+13,31253
VD,2.02203E+13,31007
VD,2.02203E+13,30856
VD,2.02203E+13,30578
VD,2.02203E+13,30415
VD,2.02203E+13,30096
VD,2.02203E+13,29762
VD,2.02203E+13,29333
VD,2.02203E+13,28583
VD,2.02203E+13,28209
VD,2.02203E+13,27832
VD,2.02203E+13,27538
VD,2.02203E+13,27228
VD,2.02203E+13,26907
VD,2.02203E+13,26761
VD,2.02203E+13,26668
VD,2.02203E+13,26575
VD,2.02203E+13,26456
VD,2.02203E+13,26349
VD,2.02203E+13,26398
VD,2.02203E+13,26382
VD,2.02203E+13,26348
VD,2.02203E+13,26418
VD,2.02203E+13,26376
VD,2.02203E+13,26109
VD,2.02203E+13,25963
VD,2.02203E+13,26272
VD,2.02203E+13,26484
VD,2.02203E+13,26521
VD,2.02203E+13,26504
VD,2.02203E+13,26456
VD,2.02203E+13,26406
VD,2.02203E+13,26696
VD,2.02203E+13,26789
VD,2.02203E+13,26684
VD,2.02203E+13,26608
VD,2.02203E+13,26571
VD,2.02203E+13,26473
VD,2.02203E+13,26602
VD,2.02203E+13,26870
VD,2.02203E+13,26979
VD,2.02203E+13,26830
VD,2.02203E+13,26805
VD,2.02203E+13,26805
VD,2.02203E+13,26876
VD,2.02203E+13,26986
VD,2.02203E+13,26806
VD,2.02203E+13,26680
VD,2.02203E+13,26727
VD,2.02203E+13,26660
VD,2.02203E+13,26592
VD,2.02203E+13,26578
VD,2.02203E+13,26597
VD,2.02203E+13,26615
VD,2.02203E+13,26604
VD,2.02203E+13,26612
VD,2.02203E+13,26689
VD,2.02203E+13,26828
VD,2.02203E+13,26795
VD,2.02203E+13,26714
VD,2.02203E+13,26582
VD,2.02203E+13,26486
VD,2.02203E+13,26436
VD,2.02203E+13,26409
VD,2.02203E+13,26347
VD,2.02203E+13,26266
VD,2.02203E+13,26305
VD,2.02203E+13,26466
VD,2.02203E+13,26833
VD,2.02203E+13,27126
VD,2.02203E+13,27075
VD,2.02203E+13,27060
VD,2.02203E+13,27066
VD,2.02203E+13,27115
VD,2.02203E+13,27255
VD,2.02203E+13,27257
VD,2.02203E+13,27297
VD,2.02203E+13,27077
VD,2.02203E+13,26875
VD,2.02203E+13,26729
VD,2.02203E+13,26810
VD,2.02203E+13,27180
VD,2.02203E+13,27363
VD,2.02203E+13,27451
VD,2.02203E+13,27553
VD,2.02203E+13,27705
VD,2.02203E+13,27856
VD,2.02203E+13,28067
VD,2.02203E+13,28207
VD,2.02203E+13,28601
VD,2.02203E+13,28961
VD,2.02203E+13,29361
VD,2.02203E+13,30051
VD,2.02203E+13,30676
VD,2.02203E+13,31178
VD,2.02203E+13,31533
VD,2.02203E+13,31961
VD,2.02203E+13,32565
VD,2.02203E+13,32967
VD,2.02203E+13,33303
VD,2.02203E+13,33686
VD,2.02203E+13,34112
VD,2.02203E+13,34567
VD,2.02203E+13,34790
VD,2.02203E+13,35060
VD,2.02203E+13,35824
VD,2.02203E+13,36132
VD,2.02203E+13,36229
VD,2.02203E+13,36411
VD,2.02203E+13,36585
VD,2.02203E+13,36760
VD,2.02203E+13,36894
VD,2.02203E+13,37113
VD,2.02203E+13,37279
VD,2.02203E+13,37593
VD,2.02203E+13,37608
VD,2.02203E+13,37256
